,acc,loss,val_acc,val_loss
0,0.09,2.30352194023,0.0830078125,2.303892456
1,0.102,2.30101348877,0.1376953125,2.30228284746
2,0.117,2.29928223801,0.1298828125,2.29909902811
3,0.111,2.290622715,0.1474609375,2.28208585829
