x," ""training"""," ""validation"""
267,94.34838297,90.36
268,94.37039705,89.68
269,94.11023055,89.76
270,94.22430355,89.67
271,94.20228947,90.18
272,94.16626641,89.81
273,94.15225744,90.58
274,94.24631764,89.97
275,94.38840858,89.8
276,94.49847903,90.63
277,94.26833173,89.93
278,94.22630484,90.19
279,94.42443164,89.78
280,94.11023055,90.09
281,94.57252642,89.47
282,94.30435479,89.88
283,94.51048671,89.92
284,94.4804675,90.02
285,94.28434198,89.87
286,94.41042267,90.34
287,94.32036503,90.26
288,94.53049952,90.38
289,94.3443804,90.46
290,94.72462376,90.13
291,94.32837016,90.1
292,94.50048031,90.84
293,94.65257765,90.31
294,94.72262248,89.89
295,94.41242395,89.48
296,94.626561,90.29
297,94.56852386,89.91
298,94.45044829,90.25
299,94.5325008,90.17
300,94.56852386,90.13
301,94.68259686,89.91
302,94.48246878,90.17
303,94.70861351,90.54
304,94.65057637,89.73
305,94.58053154,89.84
306,94.81268012,89.54
307,94.60654819,90.46
308,94.59854307,89.91
309,94.5745277,89.84
310,94.66658662,90.11
311,94.75064041,90.28
312,94.71861992,90.56
313,94.80867755,89.43
314,94.80467499,90.68
315,94.5745277,90.53
316,94.66458533,89.99
317,94.70661223,89.85
318,94.61655459,90.32
319,94.67659302,89.56
320,94.69660583,89.93
321,94.93475825,90.42
322,94.79066603,90
323,95.00480307,89.98
324,94.56051873,89.8
325,94.85470701,90.2
326,94.84269933,90.37
327,94.79466859,90.7
328,94.98278898,90.32
329,95.04883125,90.52
330,94.85070445,90.27
331,94.95276977,90.44
332,94.93675953,89.78
333,94.91474544,90.09
334,94.71261607,90.72
335,94.89873519,90.72
336,94.93675953,90.76
337,94.99879923,90.18
338,94.77665706,90.46
339,95.3990554,90.88
340,95.00680435,90.41
341,95.1068684,90.54
342,94.93075568,89.65
343,94.94476465,90.41
344,95.11087096,90.23
345,94.98679155,90.34
346,94.8346942,90.57
347,95.08285303,90.22
348,94.97878642,89.38
349,95.23094781,90.12
350,95.1168748,90.11
